0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:36 -0700] "GET /Online_Hotel_Reservation_System/css/home.css HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:36 -0700] "GET /Online_Hotel_Reservation_System/videos/video1.mp4 HTTP/1.1" 206 53260711
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:36 -0700] "GET /Online_Hotel_Reservation_System/images/pic2.jpg HTTP/1.1" 200 4304770
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:36 -0700] "GET /Online_Hotel_Reservation_System/videos/video1.mp4 HTTP/1.1" 206 42316199
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:36 -0700] "GET /Online_Hotel_Reservation_System/videos/video1.mp4 HTTP/1.1" 206 24752551
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/Home.jsp HTTP/1.1" 200 8360
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/css/home.css HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/videos/video1.mp4 HTTP/1.1" 206 53260711
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/images/pic1.jpg HTTP/1.1" 200 10969037
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/images/pic2.jpg HTTP/1.1" 200 4304770
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/videos/video1.mp4 HTTP/1.1" 206 24883623
0:0:0:0:0:0:0:1 - - [05/May/2025:05:47:37 -0700] "GET /Online_Hotel_Reservation_System/Home.jsp HTTP/1.1" 200 8360
